date,meantemp,parameter,humidity,wind_speed,meanpressure
2013-05-01,,humidity,15.857142857142858,,
2015-05-07,,humidity,13.428571428571429,,
2013-03-01,,wind_speed,,24.066666666666663,
2013-08-24,,wind_speed,,18.525,
2013-09-09,,wind_speed,,42.22,
2013-11-08,,wind_speed,,19.9125,
2013-12-25,,wind_speed,,34.4875,
2014-01-06,,wind_speed,,27.3375,
2014-01-07,,wind_speed,,20.6,
2014-05-23,,wind_speed,,19.450000000000003,
2014-06-12,,wind_speed,,24.325,
2014-07-28,,wind_speed,,18.05,
2014-08-13,,wind_speed,,20.825,
2014-08-14,,wind_speed,,18.5125,
2014-09-23,,wind_speed,,30.685714285714283,
2014-10-17,,wind_speed,,25.0125,
2014-10-18,,wind_speed,,21.3,
2015-01-28,,wind_speed,,27.775,
2015-06-09,,wind_speed,,18.75,
2015-06-10,,wind_speed,,18.05,
2015-06-11,,wind_speed,,18.2875,
2015-07-25,,wind_speed,,19.9125,
2015-08-19,,wind_speed,,33.325,
2015-10-03,,wind_speed,,18.785714285714285,
2016-03-22,,wind_speed,,22.1,
2016-04-12,,wind_speed,,19.380000000000003,
2016-04-13,,wind_speed,,18.64375,
2016-04-23,,wind_speed,,19.65384615384616,
2016-05-09,,wind_speed,,18.425,
2016-06-07,,wind_speed,,21.30625,
2016-09-18,,wind_speed,,17.908333333333335,
2016-12-21,,wind_speed,,19.40476190476191,
